date,value
2020-01-14,1577.699
2020-01-13,1580.378
2020-01-12,1577.699
2020-01-10,1580.378
2020-01-09,1577.699
2020-01-07,1577.699
2020-01-06,1577.699
2020-01-05,1577.699
2020-01-04,1577.699
2020-01-03,1577.699
2019-12-28,1577.699
2019-12-27,1577.699
2019-12-25,1586.738
2019-12-19,1586.738
2019-12-18,1586.738
2019-12-17,1586.738
2019-12-15,1592.123
2019-12-14,1592.123
2019-12-11,1592.123
2019-12-10,1592.123
2019-12-09,1592.123
2019-12-08,1592.123
2019-12-07,1592.123
2019-12-06,1592.123
2019-12-03,1592.123
2019-12-02,1592.123
