date,value
2020-01-14,633.12
2020-01-13,1593.254
2020-01-12,1376.738
2020-01-10,680.156
2020-01-09,919.07
2020-01-07,467.374
2020-01-06,868.3
2020-01-05,2625.806
2020-01-04,1184.861
2020-01-03,925.789
2019-12-28,291.175
2019-12-27,237.42
2019-12-25,1965.81
2019-12-19,3494.105
2019-12-18,3209.647
2019-12-17,3238.767
2019-12-15,344.931
2019-12-14,3900.257
2019-12-11,120.203
2019-12-10,1468.57
2019-12-09,572.645
2019-12-08,7866.958
2019-12-07,4417.657
2019-12-06,3907.711
2019-12-03,2972.232
2019-12-02,3243.248
