start,duration,value
2019-12-02T16:05:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[0.049,0.122,0.122,0.122,0.122,0.122,0.122,0.122,0.147,0.147,0.073]"
2019-12-02T16:23:00+01:00,"[60,60,60,60,60]","[0.465,0.465,0.465,0.465,0.441]"
2019-12-02T16:34:00+01:00,"[60,60,60,60,60,60,60,60]","[0.318,0.318,0.318,0.318,0.318,0.318,0.343,0.196]"
2019-12-02T17:18:00+01:00,"[60,60]","[0.49,0.318]"
2019-12-02T17:38:00+01:00,[60],[2.182]
2019-12-02T17:50:00+01:00,"[60,60,60,60,60]","[0.294,0.294,0.294,0.318,0.269]"
2019-12-02T18:03:00+01:00,"[60,60,60,60,60,60,60,60,60]","[0.245,0.245,0.245,0.245,0.245,0.245,0.245,0.245,0.22]"
2019-12-02T18:19:00+01:00,"[60,60,60,60,60,60,60]","[0.539,0.539,0.539,0.539,0.539,0.539,0.269]"
2019-12-02T18:30:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[0.196,0.196,0.196,0.196,0.196,0.22,0.22,0.22,0.22,0.22,0.171,0.269,0.269,0.269,0.294,0.294,0.294,0.294,0.294,0.294,0.073]"
2019-12-02T19:13:00+01:00,"[60,60,60,60]","[0.514,0.539,0.539,0.49]"
2019-12-02T19:24:00+01:00,"[60,60,60,60,60,60,60,60,60,60]","[0.416,0.416,0.441,0.441,0.441,0.441,0.441,0.441,0.441,0.122]"
2019-12-02T19:35:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60]","[0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.613,0.637,1.422,1.667,0.784]"
2019-12-02T19:56:00+01:00,"[60,60,60,60,60,60,60,60]","[0.22,0.22,0.247,0.247,0.247,0.247,0.247,0.074]"
2019-12-02T20:10:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[0.272,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.297,0.222]"
2019-12-02T22:40:00+01:00,"[60,60,60]","[0.272,0.272,0.049]"
2019-12-02T22:54:00+01:00,"[60,60,60,60,60,60,60]","[1.04,1.04,1.04,1.04,1.064,1.064,0.594]"
2019-12-02T23:07:00+01:00,"[60,60,60,60,60,60,60,60]","[1.584,1.584,1.584,1.609,1.609,1.609,1.609,0.495]"
2019-12-02T23:57:00+01:00,"[60,60,60,60,60,60,60,60]","[0.792,0.792,0.817,0.817,0.817,0.817,0.817,0.445]"
2019-12-03T00:47:00+01:00,"[60,60,60,60,60,60,60,60]","[0.47,0.47,0.47,0.495,0.495,0.495,0.495,0.173]"
2019-12-03T00:58:00+01:00,[60],[0.247]
2019-12-03T01:49:00+01:00,"[60,60,60,60,60]","[0.099,0.099,0.099,0.123,0.123]"
2019-12-03T02:56:00+01:00,"[60,60,60,60]","[0.123,0.099,0.099,0.099]"
2019-12-03T03:10:00+01:00,"[60,60,60,60,60,60,60,60,60]","[0.198,0.173,0.173,0.198,0.198,0.198,0.198,0.198,0.198]"
2019-12-03T03:20:00+01:00,[60],[0.594]
2019-12-03T03:42:00+01:00,[60],[0.52]
2019-12-03T05:13:00+01:00,[60],[0.198]
