start,duration,value
2019-12-02T16:05:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[1.493,3.733,3.733,3.733,3.733,3.733,3.733,3.733,4.479,4.479,2.239]"
2019-12-02T16:23:00+01:00,"[60,60,60,60,60]","[14.185,14.185,14.185,14.185,13.438]"
2019-12-02T16:34:00+01:00,"[60,60,60,60,60,60,60,60]","[9.705,9.705,9.705,9.705,9.705,9.705,10.452,5.972]"
2019-12-02T17:18:00+01:00,"[60,60]","[14.932,9.705]"
2019-12-02T17:38:00+01:00,[60],[66.447]
2019-12-02T17:50:00+01:00,"[60,60,60,60,60]","[8.959,8.959,8.959,9.705,8.212]"
2019-12-02T18:03:00+01:00,"[60,60,60,60,60,60,60,60,60]","[7.466,7.466,7.466,7.466,7.466,7.466,7.466,7.466,6.719]"
2019-12-02T18:19:00+01:00,"[60,60,60,60,60,60,60]","[16.425,16.425,16.425,16.425,16.425,16.425,8.212]"
2019-12-02T18:30:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[5.972,5.972,5.972,5.972,5.972,6.719,6.719,6.719,6.719,6.719,5.226,8.212,8.212,8.212,8.959,8.959,8.959,8.959,8.959,8.959,2.239]"
2019-12-02T19:13:00+01:00,"[60,60,60,60]","[15.678,16.425,16.425,14.932]"
2019-12-02T19:24:00+01:00,"[60,60,60,60,60,60,60,60,60,60]","[12.692,12.692,13.438,13.438,13.438,13.438,13.438,13.438,13.438,3.733]"
2019-12-02T19:35:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60]","[18.665,18.665,18.665,18.665,18.665,18.665,18.665,18.665,18.665,19.411,43.303,50.769,23.891]"
2019-12-02T19:56:00+01:00,"[60,60,60,60,60,60,60,60]","[6.719,6.719,7.466,7.466,7.466,7.466,7.466,2.239]"
2019-12-02T20:10:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[8.212,8.959,8.959,8.959,8.959,8.959,8.959,8.959,8.959,8.959,6.719]"
2019-12-02T22:40:00+01:00,"[60,60,60]","[8.212,8.212,1.493]"
2019-12-02T22:54:00+01:00,"[60,60,60,60,60,60,60]","[31.357,31.357,31.357,31.357,32.103,32.103,17.918]"
2019-12-02T23:07:00+01:00,"[60,60,60,60,60,60,60,60]","[47.782,47.782,47.782,48.529,48.529,48.529,48.529,14.932]"
2019-12-02T23:57:00+01:00,"[60,60,60,60,60,60,60,60]","[23.891,23.891,24.637,24.637,24.637,24.637,24.637,13.438]"
2019-12-03T00:47:00+01:00,"[60,60,60,60,60,60,60,60]","[14.185,14.185,14.185,14.932,14.932,14.932,14.932,5.226]"
2019-12-03T00:58:00+01:00,[60],[7.466]
2019-12-03T01:49:00+01:00,"[60,60,60,60,60]","[2.986,2.986,2.986,3.733,3.733]"
2019-12-03T02:56:00+01:00,"[60,60,60,60]","[3.733,2.986,2.986,2.986]"
2019-12-03T03:10:00+01:00,"[60,60,60,60,60,60,60,60,60]","[5.972,5.226,5.226,5.972,5.972,5.972,5.972,5.972,5.972]"
2019-12-03T03:20:00+01:00,[60],[17.918]
2019-12-03T03:42:00+01:00,[60],[15.678]
2019-12-03T05:13:00+01:00,[60],[5.972]
2019-12-03T05:40:00+01:00,"[60,60,60]","[4.479,4.479,5.226]"
2019-12-03T05:53:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[53.755,53.755,54.502,54.502,54.502,54.502,54.502,54.502,54.502,54.502,38.823]"
2019-12-03T06:05:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[19.411,19.411,19.411,19.411,19.411,19.411,20.158,20.158,20.158,20.158,13.438,7.466,7.466,2.239]"
2019-12-03T06:33:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[11.199,11.945,11.945,11.945,11.945,11.945,11.945,11.945,11.945,11.945,5.226]"
2019-12-03T06:53:00+01:00,"[60,60]","[10.452,3.733]"
2019-12-03T15:13:00+01:00,[60],[5.972]
2019-12-03T16:10:00+01:00,[60],[12.692]
2019-12-03T16:49:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[49.275,48.529,48.529,48.529,48.529,48.529,48.529,48.529,48.529,49.275,49.275,47.782,48.529,48.529,48.529,48.529,48.529,48.529,48.529,22.398]"
2019-12-03T17:30:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[77.646,77.646,77.646,78.393,78.393,78.393,78.393,78.393,78.393,78.393,58.981,32.103,32.103,32.103,32.103,32.103,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,20.904]"
2019-12-03T18:19:00+01:00,[60],[11.945]
2019-12-03T19:49:00+01:00,"[60,60,60,60,60,60,60,60,60]","[11.945,11.945,11.945,12.692,12.692,12.692,12.692,12.692,5.226]"
2019-12-03T20:53:00+01:00,"[60,60]","[20.158,8.212]"
2019-12-03T22:30:00+01:00,"[60,60,60,60,60,60,60,60,60,60]","[5.226,5.226,5.226,5.226,5.226,5.226,5.226,5.226,5.972,4.479]"
2019-12-03T05:13:00+01:00,[60],[5.972]
2019-12-03T05:40:00+01:00,"[60,60,60]","[4.479,4.479,5.226]"
2019-12-03T05:53:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[53.755,53.755,54.502,54.502,54.502,54.502,54.502,54.502,54.502,54.502,38.823]"
2019-12-03T06:05:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[19.411,19.411,19.411,19.411,19.411,19.411,20.158,20.158,20.158,20.158,13.438,7.466,7.466,2.239]"
2019-12-03T06:33:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[11.199,11.945,11.945,11.945,11.945,11.945,11.945,11.945,11.945,11.945,5.226]"
2019-12-03T06:53:00+01:00,"[60,60]","[10.452,3.733]"
2019-12-03T15:13:00+01:00,[60],[5.972]
2019-12-03T16:10:00+01:00,[60],[12.692]
2019-12-03T16:49:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[49.275,48.529,48.529,48.529,48.529,48.529,48.529,48.529,48.529,49.275,49.275,47.782,48.529,48.529,48.529,48.529,48.529,48.529,48.529,22.398]"
2019-12-03T17:30:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[77.646,77.646,77.646,78.393,78.393,78.393,78.393,78.393,78.393,78.393,58.981,32.103,32.103,32.103,32.103,32.103,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,32.85,20.904]"
2019-12-03T18:19:00+01:00,[60],[11.945]
2019-12-03T19:49:00+01:00,"[60,60,60,60,60,60,60,60,60]","[11.945,11.945,11.945,12.692,12.692,12.692,12.692,12.692,5.226]"
2019-12-03T20:53:00+01:00,"[60,60]","[20.158,8.212]"
2019-12-03T22:30:00+01:00,"[60,60,60,60,60,60,60,60,60,60]","[5.226,5.226,5.226,5.226,5.226,5.226,5.226,5.226,5.972,4.479]"
2019-12-06T20:57:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[58.235,58.235,58.235,58.235,58.235,58.235,58.235,58.981,58.981,58.981,25.384]"
2019-12-06T21:14:00+01:00,"[60,60,60,60,60,60,60,60,60]","[62.714,62.714,62.714,62.714,62.714,62.714,62.714,62.714,60.474]"
2019-12-06T21:42:00+01:00,"[60,60,60,60,60]","[8.959,9.705,9.705,9.705,8.959]"
2019-12-06T21:53:00+01:00,"[60,60,60,60]","[10.452,10.452,10.452,9.705]"
2019-12-06T22:03:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[17.171,17.171,17.171,17.918,17.918,17.918,17.918,17.918,17.918,15.678,24.637,24.637,24.637,11.945]"
2019-12-06T22:41:00+01:00,"[60,60,60,60,60,60,60,60]","[10.452,10.452,10.452,10.452,11.199,11.199,11.199,3.733]"
2019-12-06T22:58:00+01:00,"[60,60,60,60,60,60,60,60,60,60]","[2.986,2.986,2.986,2.986,2.986,2.986,2.986,3.733,3.733,1.493]"
2019-12-06T23:11:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[43.303,43.303,43.303,43.303,44.049,44.049,44.049,44.049,44.049,34.343,20.158]"
2019-12-06T23:52:00+01:00,"[60,60,60,60,60,60,60,60,60]","[11.199,11.199,11.199,11.199,11.199,11.199,11.945,11.945,11.199]"
2019-12-07T00:06:00+01:00,"[60,60]","[8.212,3.733]"
2019-12-07T00:19:00+01:00,"[60,60,60,60,60]","[30.61,30.61,30.61,31.357,5.972]"
2019-12-07T02:30:00+01:00,[60],[5.972]
