start,duration,value
2019-12-02T16:05:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[2,5,5,5,5,5,5,5,6,6,3]"
2019-12-02T16:23:00+01:00,"[60,60,60,60,60]","[19,19,19,19,18]"
2019-12-02T16:34:00+01:00,"[60,60,60,60,60,60,60,60]","[13,13,13,13,13,13,14,8]"
2019-12-02T17:18:00+01:00,"[60,60]","[20,13]"
2019-12-02T17:38:00+01:00,[60],[89]
2019-12-02T17:50:00+01:00,"[60,60,60,60,60]","[12,12,12,13,11]"
2019-12-02T18:03:00+01:00,"[60,60,60,60,60,60,60,60,60]","[10,10,10,10,10,10,10,10,9]"
2019-12-02T18:19:00+01:00,"[60,60,60,60,60,60,60]","[22,22,22,22,22,22,11]"
2019-12-02T18:30:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[8,8,8,8,8,9,9,9,9,9,7,11,11,11,12,12,12,12,12,12,3]"
2019-12-02T19:13:00+01:00,"[60,60,60,60]","[21,22,22,20]"
2019-12-02T19:24:00+01:00,"[60,60,60,60,60,60,60,60,60,60]","[17,17,18,18,18,18,18,18,18,5]"
2019-12-02T19:35:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60]","[25,25,25,25,25,25,25,25,25,26,58,68,32]"
2019-12-02T19:56:00+01:00,"[60,60,60,60,60,60,60,60]","[9,9,10,10,10,10,10,3]"
2019-12-02T20:10:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[11,12,12,12,12,12,12,12,12,12,9]"
2019-12-02T22:40:00+01:00,"[60,60,60]","[11,11,2]"
2019-12-02T22:54:00+01:00,"[60,60,60,60,60,60,60]","[42,42,42,42,43,43,24]"
2019-12-02T23:07:00+01:00,"[60,60,60,60,60,60,60,60]","[64,64,64,65,65,65,65,20]"
2019-12-02T23:57:00+01:00,"[60,60,60,60,60,60,60,60]","[32,32,33,33,33,33,33,18]"
2019-12-03T00:47:00+01:00,"[60,60,60,60,60,60,60,60]","[19,19,19,20,20,20,20,7]"
2019-12-03T00:58:00+01:00,[60],[10]
2019-12-03T01:49:00+01:00,"[60,60,60,60,60]","[4,4,4,5,5]"
2019-12-03T02:56:00+01:00,"[60,60,60,60]","[5,4,4,4]"
2019-12-03T03:10:00+01:00,"[60,60,60,60,60,60,60,60,60]","[8,7,7,8,8,8,8,8,8]"
2019-12-03T03:20:00+01:00,[60],[24]
2019-12-03T03:42:00+01:00,[60],[21]
2019-12-03T05:13:00+01:00,[60],[8]
2019-12-03T05:40:00+01:00,"[60,60,60]","[6,6,7]"
2019-12-03T05:53:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[72,72,73,73,73,73,73,73,73,73,52]"
2019-12-03T06:05:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[26,26,26,26,26,26,27,27,27,27,18,10,10,3]"
2019-12-03T06:33:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[15,16,16,16,16,16,16,16,16,16,7]"
2019-12-03T06:53:00+01:00,"[60,60]","[14,5]"
2019-12-03T15:13:00+01:00,[60],[8]
2019-12-03T16:10:00+01:00,[60],[17]
2019-12-03T16:49:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[66,65,65,65,65,65,65,65,65,66,66,64,65,65,65,65,65,65,65,30]"
2019-12-03T17:30:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[104,104,104,105,105,105,105,105,105,105,79,43,43,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,28]"
2019-12-03T18:19:00+01:00,[60],[16]
2019-12-03T19:49:00+01:00,"[60,60,60,60,60,60,60,60,60]","[16,16,16,17,17,17,17,17,7]"
2019-12-03T20:53:00+01:00,"[60,60]","[27,11]"
2019-12-03T22:30:00+01:00,"[60,60,60,60,60,60,60,60,60,60]","[7,7,7,7,7,7,7,7,8,6]"
2019-12-03T05:13:00+01:00,[60],[8]
2019-12-03T05:40:00+01:00,"[60,60,60]","[6,6,7]"
2019-12-03T05:53:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[72,72,73,73,73,73,73,73,73,73,52]"
2019-12-03T06:05:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[26,26,26,26,26,26,27,27,27,27,18,10,10,3]"
2019-12-03T06:33:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[15,16,16,16,16,16,16,16,16,16,7]"
2019-12-03T06:53:00+01:00,"[60,60]","[14,5]"
2019-12-03T15:13:00+01:00,[60],[8]
2019-12-03T16:10:00+01:00,[60],[17]
2019-12-03T16:49:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[66,65,65,65,65,65,65,65,65,66,66,64,65,65,65,65,65,65,65,30]"
2019-12-03T17:30:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[104,104,104,105,105,105,105,105,105,105,79,43,43,43,43,43,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,28]"
2019-12-03T18:19:00+01:00,[60],[16]
2019-12-03T19:49:00+01:00,"[60,60,60,60,60,60,60,60,60]","[16,16,16,17,17,17,17,17,7]"
2019-12-03T20:53:00+01:00,"[60,60]","[27,11]"
2019-12-03T22:30:00+01:00,"[60,60,60,60,60,60,60,60,60,60]","[7,7,7,7,7,7,7,7,8,6]"
2019-12-06T20:57:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[78,78,78,78,78,78,78,79,79,79,34]"
2019-12-06T21:14:00+01:00,"[60,60,60,60,60,60,60,60,60]","[84,84,84,84,84,84,84,84,81]"
2019-12-06T21:42:00+01:00,"[60,60,60,60,60]","[12,13,13,13,12]"
2019-12-06T21:53:00+01:00,"[60,60,60,60]","[14,14,14,13]"
2019-12-06T22:03:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[23,23,23,24,24,24,24,24,24,21,33,33,33,16]"
2019-12-06T22:41:00+01:00,"[60,60,60,60,60,60,60,60]","[14,14,14,14,15,15,15,5]"
2019-12-06T22:58:00+01:00,"[60,60,60,60,60,60,60,60,60,60]","[4,4,4,4,4,4,4,5,5,2]"
2019-12-06T23:11:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60]","[58,58,58,58,59,59,59,59,59,46,27]"
2019-12-06T23:52:00+01:00,"[60,60,60,60,60,60,60,60,60]","[15,15,15,15,15,15,16,16,15]"
2019-12-07T00:06:00+01:00,"[60,60]","[11,5]"
2019-12-07T00:19:00+01:00,"[60,60,60,60,60]","[41,41,41,42,8]"
2019-12-07T02:30:00+01:00,[60],[8]
2019-12-07T03:47:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[79,79,79,79,79,80,80,80,80,80,32,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,14,26,26,26,27,5]"
2019-12-07T06:22:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[24,24,24,24,24,25,25,25,25,25,25,23,23,23,24,20]"
2019-12-07T06:45:00+01:00,"[60,60,60,60,60]","[8,8,9,9,2]"
2019-12-07T06:56:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[7,7,7,7,7,7,8,8,8,6,6,6,7,7,7]"
2019-12-07T08:55:00+01:00,[60],[23]
2019-12-07T09:09:00+01:00,"[60,60,60,60,60,60,60,60,60]","[7,7,7,7,7,7,7,8,5]"
2019-12-07T09:28:00+01:00,"[60,60,60]","[75,76,4]"
2019-12-07T20:32:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[83,83,83,83,83,83,83,84,84,84,87,89,89,89,89,17]"
2019-12-07T22:08:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[78,78,78,78,78,78,79,79,79,79,81,86,87,87,87,87,74]"
2019-12-07T22:56:00+01:00,[60],[6]
2019-12-08T01:20:00+01:00,"[60,60,60,60,60,60,60,60]","[5,5,5,5,6,6,6,4]"
2019-12-08T01:34:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[91,91,91,91,91,92,92,92,92,92,86,83,84,84,84,61]"
2019-12-08T02:00:00+01:00,[60],[20]
2019-12-08T02:20:00+01:00,"[60,60,60,60,60,60,60]","[2,2,2,2,2,2,2]"
2019-12-08T02:29:00+01:00,"[60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60]","[46,46,46,46,46,46,46,46,46,46,52,85,85,85,85,85,85,85,86,28,34,34,34,34,34,34,34,34,34,3]"
2019-12-08T04:55:00+01:00,"[60,60,60,60,60,60,60]","[3,4,4,4,4,4,2]"
